                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 0.9001,                0.53121,                  1.004,                0.95803,                0.90103,                0.93183,                0.64926,                 1.0116,                0.47887,                 1.0541,               0.004753,               0.004753,               0.004753
                    108,                0.90457,                0.53698,                0.99929,                0.95579,                0.90124,                0.93108,                0.65062,                 1.0118,                0.47858,                  1.055,              0.0047035,              0.0047035,              0.0047035
                    109,                0.89671,                0.52882,                0.99883,                0.96561,                0.89298,                0.93099,                0.65043,                 1.0107,                0.47849,                  1.055,               0.004654,               0.004654,               0.004654
                    110,                0.89849,                0.52604,                0.99598,                0.95998,                0.89802,                0.93083,                0.65108,                 1.0116,                0.47997,                 1.0567,              0.0046045,              0.0046045,              0.0046045
                    111,                0.88903,                0.51853,                0.99432,                0.96419,                0.89402,                0.93154,                0.64948,                  1.012,                0.47971,                 1.0565,               0.004555,               0.004555,               0.004555
                    112,                0.88783,                 0.5158,                0.99109,                0.95915,                0.90073,                0.93172,                0.65151,                 1.0115,                0.47973,                 1.0556,              0.0045055,              0.0045055,              0.0045055
                    113,                0.88286,                0.50502,                 0.9906,                0.95594,                0.90261,                0.93229,                0.65134,                 1.0105,                  0.479,                 1.0565,               0.004456,               0.004456,               0.004456
                    114,                0.88919,                0.51307,                0.99956,                0.95907,                0.90053,                0.93286,                0.65176,                 1.0117,                0.47758,                 1.0571,              0.0044065,              0.0044065,              0.0044065
                    115,                0.87937,                0.51228,                0.98857,                0.95813,                0.90272,                0.93011,                 0.6511,                 1.0126,                 0.4759,                 1.0569,               0.004357,               0.004357,               0.004357
                    116,                0.88774,                 0.5164,                0.99441,                0.95692,                0.90114,                0.93042,                0.65142,                  1.012,                0.47568,                 1.0556,              0.0043075,              0.0043075,              0.0043075
                    117,                 0.8629,                0.50822,                0.98708,                0.96586,                0.89604,                0.93113,                0.65121,                 1.0124,                 0.4746,                 1.0558,               0.004258,               0.004258,               0.004258
                    118,                0.87589,                0.51128,                0.98311,                0.96894,                0.89306,                0.93049,                0.65104,                 1.0119,                0.47529,                 1.0557,              0.0042085,              0.0042085,              0.0042085
                    119,                0.87704,                0.51355,                0.99164,                0.96546,                0.89465,                0.92873,                0.65035,                 1.0124,                0.47417,                 1.0555,               0.004159,               0.004159,               0.004159
                    120,                0.85829,                 0.4997,                0.98205,                0.96963,                0.89503,                0.93027,                0.65073,                  1.011,                0.47362,                 1.0552,              0.0041095,              0.0041095,              0.0041095
                    121,                0.86282,                0.49894,                0.97844,                0.97074,                0.89333,                0.92918,                0.64966,                 1.0091,                0.47214,                 1.0536,                0.00406,                0.00406,                0.00406
                    122,                0.86235,                0.49247,                0.97993,                0.95664,                0.90406,                0.92982,                0.65079,                  1.009,                0.47303,                  1.053,              0.0040105,              0.0040105,              0.0040105
                    123,                0.86947,                 0.4987,                 0.9851,                0.95947,                0.90556,                0.93146,                 0.6512,                 1.0091,                0.47333,                 1.0536,               0.003961,               0.003961,               0.003961
                    124,                0.86164,                0.49589,                0.97928,                0.96196,                0.90459,                0.93191,                 0.6508,                 1.0106,                 0.4721,                  1.055,              0.0039115,              0.0039115,              0.0039115
                    125,                0.85773,                0.49225,                0.97429,                0.96188,                0.90353,                0.93227,                 0.6512,                 1.0115,                 0.4729,                 1.0559,               0.003862,               0.003862,               0.003862
                    126,                0.85307,                0.49218,                0.98027,                0.96281,                0.90257,                 0.9326,                0.65219,                 1.0119,                0.47157,                 1.0558,              0.0038125,              0.0038125,              0.0038125
                    127,                0.86429,                0.49746,                 0.9772,                0.96359,                0.89946,                0.93119,                 0.6514,                 1.0129,                0.47154,                 1.0564,               0.003763,               0.003763,               0.003763
                    128,                0.83822,                0.48187,                0.97033,                 0.9668,                0.89926,                0.93222,                0.65156,                 1.0134,                0.47163,                 1.0563,              0.0037135,              0.0037135,              0.0037135
                    129,                  0.841,                0.48674,                0.96895,                0.96348,                0.90231,                0.93231,                0.65134,                 1.0132,                0.47131,                 1.0562,               0.003664,               0.003664,               0.003664
                    130,                0.84968,                0.48716,                 0.9792,                0.96704,                0.89703,                0.93195,                0.65209,                 1.0129,                0.47093,                 1.0556,              0.0036145,              0.0036145,              0.0036145
                    131,                0.83703,                0.48738,                0.97238,                 0.9638,                0.90104,                0.93213,                0.65276,                 1.0131,                0.47113,                 1.0558,               0.003565,               0.003565,               0.003565
                    132,                0.83465,                0.47842,                0.96601,                0.96463,                0.90104,                0.93227,                0.65247,                 1.0132,                0.47117,                 1.0554,              0.0035155,              0.0035155,              0.0035155
                    133,                0.83535,                0.47479,                0.97049,                0.96398,                0.90155,                0.93184,                0.65256,                 1.0134,                0.47146,                 1.0552,               0.003466,               0.003466,               0.003466
                    134,                 0.8361,                0.48944,                0.97356,                0.96359,                0.90055,                0.93137,                0.65204,                 1.0136,                 0.4717,                 1.0555,              0.0034165,              0.0034165,              0.0034165
                    135,                0.81826,                0.46665,                0.96681,                0.96253,                0.90141,                0.93074,                0.65249,                  1.014,                0.47208,                 1.0556,               0.003367,               0.003367,               0.003367
                    136,                  0.819,                0.46514,                0.96959,                0.96199,                0.90074,                0.93037,                0.65249,                 1.0143,                0.47234,                 1.0553,              0.0033175,              0.0033175,              0.0033175
